City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,barra de santo antonio,-9.4047,-35.5072,25.04,77,44,5.75,BR,1730420892
325,osakarovka,50.565,72.5692,2.48,94,100,6.04,KZ,1730420893
326,corn island,12.1694,-83.0418,26.45,81,100,5.51,NI,1730420894
327,sidi ifni,29.3797,-10.173,17.07,74,0,1.87,MA,1730420895
328,polewali,-3.4324,119.3435,27.9,76,100,0.4,ID,1730420896
329,sitka,57.0531,-135.33,8.94,76,100,0.0,US,1730420898
330,rio grande,-32.035,-52.0986,20.19,82,11,10.67,BR,1730420899
331,flying fish cove,-10.4217,105.6791,26.82,89,100,4.12,CX,1730420900
332,yaren,-0.5472,166.916,28.23,68,1,2.8,NR,1730420901
333,polyarnyy,69.1989,33.4478,-2.82,79,83,10.08,RU,1730420902
334,al qubbah,32.7616,22.2424,14.57,72,27,11.78,LY,1730420903
335,kirkland lake,48.1446,-80.0377,2.16,93,100,2.06,CA,1730420904
336,mawlaik,23.6333,94.4167,20.33,98,50,0.23,MM,1730420905
337,labrador city,52.9463,-66.9114,-2.12,65,40,31.29,CA,1730420906
338,erenhot,43.6475,111.9767,4.55,50,35,1.38,CN,1730420907
339,rio preto da eva,-2.6994,-59.6997,27.6,62,100,1.12,BR,1730420909
340,jiagedaqi,50.4167,124.1167,-0.07,89,99,1.36,CN,1730420910
341,kudahuvadhoo,2.6708,72.8944,27.3,75,30,2.67,MV,1730420911
342,paradip garh,20.3167,86.6167,24.91,89,4,3.13,IN,1730420912
343,lamu,-2.2717,40.902,25.29,85,41,5.76,KE,1730420913
344,yeppoon,-23.1333,150.7333,26.6,60,12,4.57,AU,1730420914
345,antofagasta,-23.65,-70.4,16.6,87,38,0.7,CL,1730420915
346,mejit,10.2753,170.8646,28.37,76,69,4.05,MH,1730420916
347,pago pago,-14.2781,-170.7025,27.23,80,95,6.05,AS,1730420917
348,gosaba,22.165,88.7998,24.12,88,15,1.61,IN,1730420919
349,gadzhiyevo,69.2551,33.3362,-2.76,80,91,10.38,RU,1730420920
350,altania,-23.8744,-53.9017,26.79,34,88,3.55,BR,1730420922
351,new richmond,45.123,-92.5366,1.82,93,100,5.66,US,1730420923
352,kenai,60.5544,-151.2583,0.08,98,100,2.57,US,1730420924
353,secunderabad,17.5043,78.5426,22.2,85,1,1.33,IN,1730420925
354,zbarazh,49.6636,25.7762,8.29,81,100,6.72,UA,1730420926
355,sambava,-14.2667,50.1667,21.91,91,14,3.33,MG,1730420927
356,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.57,GF,1730420928
357,madimba,-10.4,40.3333,24.97,89,80,2.65,TZ,1730420930
358,ta`u,-14.2336,-169.5144,27.24,80,100,4.49,AS,1730420932
359,lakatoro,-16.0999,167.4164,27.72,75,76,4.99,VU,1730420933
